################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: arkuma
#     Report Created on: Wed Sep 25 13:49:14 2013
#     Working Directory: /home/arkuma/probation/traffic_controller/spyglass/bin
#     Report Location  : ../reports//spyglass_reports/dft/dft_data/dft_data_01.csv
#     SpyGlass Version : 5.0.0
#     Policy Name      : dft(5.0.0)
#     Comment          : DFT data for browsing
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Design Characteristic: tlc, Count
2, Flip-flop, 9
12, Latch, 0
13, Black-Box, 0
