################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: arkuma
#     Report Created on: Wed Sep 25 13:49:14 2013
#     Working Directory: /home/arkuma/probation/traffic_controller/spyglass/bin
#     Report Location  : ../reports//spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : 5.0.0
#     Policy Name      : dft(5.0.0)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Scannability, Shift-CP-Root, Capture-CP-Root, Initialized, Shift-Sim, Capture-Sim
3, tlc.\count_reg[0] , Un-Scannable - Clock, No clock, No clock, Q -> X  D -> X, Q -> X  D -> X, Q -> X  D -> X
4, tlc.\count_reg[1] , Un-Scannable - Clock, No clock, No clock, Q -> X  D -> X, Q -> X  D -> X, Q -> X  D -> X
5, tlc.\count_reg[2] , Un-Scannable - Clock, No clock, No clock, Q -> X  D -> X, Q -> X  D -> X, Q -> X  D -> X
6, tlc.\count_reg[3] , Un-Scannable - Clock, No clock, No clock, Q -> X  D -> X, Q -> X  D -> X, Q -> X  D -> X
7, tlc.\reg_prsnt_st_reg[0] , Un-Scannable - Clock, No clock, No clock, Q -> X  D -> X, Q -> X  D -> X, Q -> X  D -> X
8, tlc.\reg_prsnt_st_reg[1] , Un-Scannable - Clock, No clock, No clock, Q -> X  D -> X, Q -> X  D -> X, Q -> X  D -> X
9, tlc.\reg_prsnt_st_reg[2] , Un-Scannable - Clock, No clock, No clock, Q -> X  D -> X, Q -> X  D -> X, Q -> X  D -> X
10, tlc.\reg_prsnt_st_reg[3] , Un-Scannable - Clock, No clock, No clock, Q -> X  D -> X, Q -> X  D -> X, Q -> X  D -> X
11, tlc.\reg_prsnt_st_reg[4] , Un-Scannable - Clock, No clock, No clock, Q -> X  D -> X, Q -> X  D -> X, Q -> X  D -> X
